timestamp_ms,track_id,class,x_min,y_min,x_max,y_max
16983.633333333335,374,motorcycle,3177,1265,3372,1517
16983.633333333335,363,car,1935,988,2054,1086
16983.633333333335,285,person,2688,1309,2828,1705
16983.633333333335,391,person,3669,1152,3762,1404
17017.0,3,car,2237,1840,3474,2147
17017.0,297,person,346,1100,459,1406
17017.0,71,person,3770,1109,3838,1491
17017.0,372,person,223,1143,359,1460
17017.0,179,car,2051,1032,2223,1159
17017.0,333,person,3675,1130,3785,1413
17017.0,388,person,728,1226,904,1703
17017.0,363,car,1935,988,2053,1086
17017.0,285,person,2688,1309,2829,1706
17017.0,391,person,3668,1149,3763,1404
17050.36666666667,3,car,2236,1840,3468,2147
17050.36666666667,297,person,344,1089,467,1408
17050.36666666667,71,person,3770,1108,3838,1492
17050.36666666667,372,person,226,1143,368,1463
17050.36666666667,179,car,2053,1032,2223,1159
17050.36666666667,333,person,3675,1132,3785,1412
17050.36666666667,388,person,735,1230,908,1702
17050.36666666667,363,car,1935,988,2053,1086
17050.36666666667,285,person,2688,1309,2829,1705
17050.36666666667,391,person,3670,1152,3763,1402
17083.733333333334,3,car,2236,1839,3467,2147
17083.733333333334,297,person,355,1085,480,1404
17083.733333333334,71,person,3771,1118,3838,1491
17083.733333333334,372,person,229,1145,375,1463
17083.733333333334,179,car,2051,1031,2220,1159
17083.733333333334,333,person,3675,1136,3784,1411
17083.733333333334,388,person,739,1233,908,1701
17083.733333333334,363,car,1935,989,2052,1087
17083.733333333334,285,person,2687,1308,2832,1706
17083.733333333334,391,person,3670,1158,3762,1402
17083.733333333334,374,motorcycle,3203,1271,3404,1543
17117.100000000002,3,car,2236,1837,3470,2148
17117.100000000002,297,person,361,1088,487,1403
17117.100000000002,71,person,3772,1121,3838,1490
17117.100000000002,372,person,234,1144,380,1466
17117.100000000002,179,car,2048,1031,2219,1159
17117.100000000002,333,person,3675,1138,3783,1411
17117.100000000002,388,person,739,1234,908,1701
17117.100000000002,363,car,1935,989,2052,1087
17117.100000000002,285,person,2689,1307,2832,1705
17117.100000000002,391,person,3671,1159,3761,1401
17117.100000000002,395,car,24,1035,538,1252
17117.100000000002,398,car,3097,1173,3500,1355
17117.100000000002,374,motorcycle,3209,1267,3421,1555
17150.466666666667,3,car,2235,1837,3466,2148
17150.466666666667,297,person,364,1091,486,1402
17150.466666666667,71,person,3773,1131,3838,1491
17150.466666666667,372,person,244,1140,383,1469
17150.466666666667,179,car,2048,1031,2219,1159
17150.466666666667,333,person,3675,1140,3782,1411
17150.466666666667,388,person,740,1235,907,1700
17150.466666666667,363,car,1935,989,2053,1087
17150.466666666667,285,person,2690,1308,2831,1702
17150.466666666667,391,person,3671,1161,3760,1401
17150.466666666667,395,car,5,1030,552,1248
17150.466666666667,398,car,3089,1173,3518,1359
17150.466666666667,374,person,3225,1244,3426,1556
17150.466666666667,400,person,396,1106,500,1396
17183.833333333332,3,car,2235,1837,3463,2147
17183.833333333332,297,person,366,1093,492,1402
17183.833333333332,71,person,3773,1132,3838,1492
17183.833333333332,372,person,254,1144,385,1467
17183.833333333332,179,car,2047,1031,2219,1159
17183.833333333332,333,person,3675,1139,3782,1411
17183.833333333332,388,person,741,1234,906,1699
17183.833333333332,363,car,1934,989,2053,1087
17183.833333333332,285,person,2690,1308,2830,1701
17183.833333333332,391,person,3670,1163,3760,1401
17183.833333333332,395,car,0,1027,541,1247
17183.833333333332,398,car,3082,1164,3505,1361
17183.833333333332,403,person,943,1032,999,1200
17217.2,3,car,2234,1838,3458,2147
17217.2,297,person,367,1090,495,1401
17217.2,71,person,3773,1134,3838,1494
17217.2,372,person,266,1142,389,1465
17217.2,179,car,2048,1031,2220,1159
17217.2,333,person,3675,1137,3783,1411
17217.2,388,person,742,1235,905,1697
17217.2,363,car,1934,989,2053,1087
17217.2,285,person,2690,1307,2830,1702
17217.2,395,bus,0,757,503,1245
17217.2,398,car,3075,1158,3491,1366
17217.2,403,person,944,1033,999,1200
17217.2,277,person,3478,1167,3584,1402
17217.2,374,motorcycle,3241,1266,3459,1577
17250.56666666667,3,car,2233,1838,3458,2148
17250.56666666667,297,person,376,1089,503,1400
17250.56666666667,71,person,3773,1141,3838,1496
17250.56666666667,372,person,281,1147,396,1463
17250.56666666667,179,car,2047,1031,2220,1159
17250.56666666667,333,person,3675,1134,3785,1411
17250.56666666667,388,person,741,1237,905,1699
17250.56666666667,363,car,1934,989,2053,1087
17250.56666666667,285,person,2689,1307,2831,1700
17250.56666666667,395,bus,0,669,474,1244
17250.56666666667,398,car,3069,1157,3500,1369
17250.56666666667,403,person,944,1034,999,1200
17250.56666666667,277,person,3482,1168,3584,1401
17250.56666666667,374,motorcycle,3248,1263,3475,1586
17250.56666666667,391,person,3671,1163,3761,1401
17283.933333333334,3,car,2234,1839,3458,2148
17283.933333333334,297,person,386,1085,504,1399
17283.933333333334,71,person,3773,1138,3838,1497
17283.933333333334,372,person,293,1146,405,1466
17283.933333333334,179,car,2046,1031,2220,1159
17283.933333333334,333,person,3675,1133,3784,1411
17283.933333333334,388,person,741,1236,904,1700
17283.933333333334,363,car,1934,989,2053,1087
17283.933333333334,285,person,2690,1307,2831,1699
17283.933333333334,395,bus,0,629,460,1243
17283.933333333334,398,car,3064,1159,3499,1370
17283.933333333334,277,person,3483,1166,3584,1402
17283.933333333334,374,motorcycle,3252,1279,3486,1591
17283.933333333334,391,person,3671,1162,3761,1401
17317.3,3,car,2234,1838,3461,2148
17317.3,297,person,391,1086,505,1396
17317.3,71,person,3774,1133,3838,1497
17317.3,372,person,303,1152,412,1467
17317.3,179,car,2044,1031,2220,1159
17317.3,333,person,3675,1126,3784,1411
17317.3,388,person,740,1237,902,1700
17317.3,363,car,1935,989,2052,1087
17317.3,285,person,2690,1307,2830,1699
17317.3,398,car,3057,1162,3482,1371
17317.3,277,person,3484,1163,3584,1401
17317.3,374,motorcycle,3260,1283,3510,1597
17317.3,391,person,3671,1162,3763,1401
17350.666666666668,3,car,2234,1838,3463,2148
17350.666666666668,71,person,3774,1139,3838,1497
17350.666666666668,372,person,311,1155,419,1467
17350.666666666668,179,car,2041,1031,2220,1159
17350.666666666668,333,person,3676,1136,3785,1411
17350.666666666668,388,person,740,1237,902,1699
17350.666666666668,363,car,1935,989,2052,1087
17350.666666666668,398,car,3052,1168,3464,1375
17350.666666666668,277,person,3484,1164,3583,1402
17384.033333333336,3,car,2235,1835,3467,2144
17384.033333333336,71,person,3774,1140,3838,1496
17384.033333333336,372,person,316,1159,427,1473
17384.033333333336,179,car,2038,1031,2220,1159
17384.033333333336,333,person,3678,1160,3782,1409
17384.033333333336,388,person,740,1239,900,1700
17384.033333333336,363,car,1935,989,2052,1087
17384.033333333336,398,car,3048,1169,3456,1378
17384.033333333336,277,person,3484,1162,3586,1409
17384.033333333336,374,motorcycle,3291,1280,3544,1613
17417.4,3,car,2235,1833,3468,2142
17417.4,71,person,3774,1132,3838,1495
17417.4,372,person,321,1160,431,1475
17417.4,179,car,2038,1031,2220,1159
17417.4,333,person,3678,1166,3781,1407
17417.4,388,person,740,1239,898,1701
17417.4,363,car,1935,989,2053,1087
17417.4,398,car,3042,1172,3449,1380
17417.4,277,person,3483,1160,3586,1400
17417.4,374,motorcycle,3301,1288,3569,1627
17450.766666666666,3,car,2235,1833,3468,2142
17450.766666666666,71,person,3775,1136,3838,1495
